,isbn13,isbn10,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count,cleaned_description
2,9780006163831,0006163831,The One Tree,Stephen R. Donaldson,American fiction,Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,1982,4,479,172,volume two stephen donaldson s acclaimed second trilogy featuing compelling anti hero thomas covenant
3,9780006178736,0006178731,Rage of angels,Sidney Sheldon,Fiction,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993,4,512,29532,memorable mesmerizing heroine jennifer brilliant beautiful attorney way mafia s schemes win hatred implacable enemy love destructive hate dangerous dramatic world dark arena organized crime flashbulb lit courtrooms ambitious prosecutors begin climb political power
4,9780006280897,0006280897,The Four Loves,Clive Staples Lewis,Christian life,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",2002,4,170,33684,lewis work nature love divides love four categories affection friendship eros charity first three come naturally humanity charity however gift love god divine without supernatural love natural loves become distorted even dangerous
5,9780006280934,0006280935,The Problem of Pain,Clive Staples Lewis,Christian life,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",2002,4,176,37569,in problem pain c s lewis one renowned christian authors thinkers examines universally applicable question within human condition god good all powerful allow creatures suffer pain signature wealth compassion insight c s lewis offers answers crucial questions shares hope wisdom help heal world hungering true understanding human nature amazon
6,9780006353287,0006353282,An Autobiography,Agatha Christie,"Authors, English",Donation.,1977,4,560,3975,donation
8,9780006470229,000647022X,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)","A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994,4,743,103,new cover reissue fourth book bestselling five volume sf series created world famous author thomas covenant chronicles acclaimed best work career events moving amnion intended humans false dealings aliens planetoid thanatos minor exploded atoms trumpet hurtled space one step ahead hostile pursuers board morn hyland force grown son davies cyborg angus thermopyle captain nick succorso old enemies thrown together desperate bid survival amnion umcp immediate capture fleeing ship secrets contained imperative trumpet s exhausted crew hope lay illegal lab distant binary solar system valdor industrial would journey unpredictable danger would return
9,9780006472612,0006472613,Master of the Game,Sidney Sheldon,Adventure stories,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982,4,489,43540,kate blackwell enigma one powerful women world ninetieth birthday celebrations ghosts absent friends absent enemies
10,9780006479673,0006479677,If Tomorrow Comes,Sidney Sheldon,Adventure stories,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",1994,4,501,49170,one sidney sheldon s popular bestselling titles repackaged reissued new generation fans
11,9780006480099,0006480098,Assassin's Apprentice,Robin Hobb,American fiction,Fantasy-roman.,1996,4,460,133972,fantasy roman
12,9780006482079,0006482074,Warhost of Vastmark,Janny Wurts,Fiction,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995,4,522,2966,tricked wily half brother lysaer lord light arrives tiny harbor town merior find arithon s ship yards abandoned meticulously destroyed master shadow disappeared thin air meanwhile arithon mad prophet dakar traveling foot treacherous kelhorn mountains towards vastmark clans raise support cause raising warhost costly business mere coincidence princess talithlysaer s beautiful headstrong wifeis taken captive held vast ransom master brigand forces light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerers koriani enchantresses watch plan wait
